index,sample_count,fll_valid_count,input_hz,center_hz,center_word,tracking_word,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude
0,470,1,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,48264,-1236,0,3,0,1,1,1,0,15485
1,548,2,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,47648,-1348,0,4,0,1,1,1,0,15628
2,626,3,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,-322,46976,-1288,0,4,0,1,1,1,0,15550
3,704,4,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac330,-651,46332,-1316,0,5,0,1,1,1,0,15592
4,782,5,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac1e7,-458,45672,-1304,0,5,0,1,1,1,0,15569
5,860,6,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac2a8,-450,45020,-1312,0,6,0,1,1,1,1,15582
6,938,7,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac2b0,26,44364,-1308,0,6,0,1,1,1,1,15576
7,1016,8,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac48c,321,43712,-1308,0,6,0,1,1,1,1,15579
8,1094,9,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac5b3,611,43056,-1308,0,6,0,1,1,1,1,15577
9,1172,10,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac6d5,896,42404,-1308,0,6,0,1,1,1,1,15578
10,1250,11,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac7f2,1176,41748,-1308,0,6,0,1,1,1,1,15578
11,1328,12,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac90a,1451,41096,-1308,0,6,0,1,1,1,1,15578
12,1406,13,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5aca1d,1719,40440,-1308,0,6,0,1,1,1,1,15577
13,1484,14,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5acb29,1983,39788,-1308,0,6,0,1,1,1,1,15578
14,1562,15,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5acc31,2242,39132,-1308,0,6,0,1,1,1,1,15577
15,1640,16,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5acd34,2496,38480,-1308,0,6,0,1,1,1,1,15578
16,1718,17,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ace32,2745,37824,-1308,0,6,0,1,1,1,1,15577
17,1796,18,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5acf2b,2989,37172,-1308,0,6,0,1,1,1,1,15578
