cycle,in_valid,in_ready,i_in,q_in,out_valid,phase,magnitude
0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0
6,0,1,0,0,0,0,0
7,0,1,0,0,0,0,0
8,1,1,131072,0,0,0,0
9,0,1,131072,0,0,0,0
10,1,1,0,131072,0,0,0
11,0,1,0,131072,0,0,0
12,1,0,-131072,0,0,0,0
13,0,0,-131072,0,0,0,0
14,1,0,0,-131072,0,0,0
15,1,0,0,-131072,0,0,0
16,1,0,0,-131072,0,0,0
17,1,0,0,-131072,0,0,0
18,1,0,0,-131072,0,0,0
19,1,0,0,-131072,0,0,0
20,1,0,0,-131072,0,0,0
21,1,0,0,-131072,0,0,0
22,1,0,0,-131072,0,0,0
23,1,0,0,-131072,0,0,0
24,1,0,0,-131072,0,0,0
25,1,0,0,-131072,0,0,0
26,1,0,0,-131072,0,0,0
27,1,1,0,-131072,0,0,0
28,1,0,0,-131072,0,0,0
29,0,0,0,-131072,0,0,0
30,1,0,92782,92782,0,0,0
31,1,0,92782,92782,0,0,0
32,1,0,92782,92782,0,0,0
33,1,0,92782,92782,1,0,152625
34,1,0,92782,92782,1,0,152625
35,1,0,92782,92782,1,0,152625
36,1,0,92782,92782,1,0,152625
37,1,0,92782,92782,1,0,152625
38,1,0,92782,92782,1,0,152625
39,1,0,92782,92782,1,0,152625
40,1,0,92782,92782,1,0,152625
41,1,0,92782,92782,1,0,152625
42,1,0,92782,92782,1,0,152625
43,1,0,92782,92782,1,0,152625
44,1,0,92782,92782,1,0,152625
45,1,1,92782,92782,1,0,152625
46,1,0,92782,92782,1,0,152625
47,0,0,92782,92782,1,0,152625
48,1,0,92782,-92782,1,0,152625
49,1,0,92782,-92782,1,0,152625
50,1,0,92782,-92782,1,0,152625
51,1,0,92782,-92782,1,0,152625
