index,center_word,tracking_word,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,locked,magnitude
0,0x000a7c5ac472,0x000a7c5ac472,0,-14946,-21520,0,4,0,62102
1,0x000a7c5ac472,0x000a7c5ac472,-5380,-15617,-21520,0,4,0,61601
2,0x000a7c5ac472,0x000a7c5aaf6e,-10760,-16274,-21520,0,4,0,61094
3,0x000a7c5ac472,0x000a7c5a9a6a,-16140,-16957,-21520,0,4,0,60625
4,0x000a7c5ac472,0x000a7c5a8566,-21520,-16957,-21520,0,4,0,60625
5,0x000a7c5ac472,0x000a7c5a7062,-26900,-17639,-21520,0,4,0,60173
6,0x000a7c5ac472,0x000a7c5a5b5e,-32280,-18309,-21520,0,4,0,59721
7,0x000a7c5ac472,0x000a7c5a465a,-37660,-18968,-21520,0,4,0,59271
8,0x000a7c5ac472,0x000a7c5a3156,-43040,-19653,-21520,0,4,0,58780
9,0x000a7c5ac472,0x000a7c5a1c52,-48420,-20320,-21520,0,4,0,58318
10,0x000a7c5ac472,0x000a7c5a074e,-53800,-20983,-21520,0,4,0,57869
11,0x000a7c5ac472,0x000a7c59f24a,-59180,-21673,-21520,0,4,0,57418
12,0x000a7c5ac472,0x000a7c59dd46,-64560,-22340,-21520,0,4,0,56981
13,0x000a7c5ac472,0x000a7c59c842,-69940,-22340,-21520,0,4,0,56981
14,0x000a7c5ac472,0x000a7c59b33e,-75320,-23001,-21520,0,4,0,56538
15,0x000a7c5ac472,0x000a7c599e3a,-80700,-23676,-21520,0,4,0,56094
16,0x000a7c5ac472,0x000a7c598936,-86069,-24346,-21473,0,4,0,55661
17,0x000a7c5ac472,0x000a7c59743d,-91438,-25679,-21473,0,4,0,54805
18,0x000a7c5ac472,0x000a7c595f44,-96807,-26358,-21473,0,4,0,54362
19,0x000a7c5ac472,0x000a7c594a4b,-102176,-27030,-21473,0,4,0,53922
20,0x000a7c5ac472,0x000a7c593552,-107545,-27716,-21473,0,4,0,53514
21,0x000a7c5ac472,0x000a7c592059,-112914,-28388,-21473,0,4,0,53115
22,0x000a7c5ac472,0x000a7c590b60,-118283,-28388,-21473,0,4,0,53115
23,0x000a7c5ac472,0x000a7c58f667,-123652,-29044,-21473,0,4,0,52710
24,0x000a7c5ac472,0x000a7c58e16e,-129021,-29717,-21473,0,4,0,52270
25,0x000a7c5ac472,0x000a7c58cc75,-134390,-30392,-21473,0,4,0,51855
26,0x000a7c5ac472,0x000a7c58b77c,-139759,-31728,-21473,0,4,0,51082
27,0x000a7c5ac472,0x000a7c58a283,-145128,-32405,-21473,0,4,0,50660
28,0x000a7c5ac472,0x000a7c588d8a,-150497,-33073,-21473,0,4,0,50289
29,0x000a7c5ac472,0x000a7c587891,-155866,-33740,-21473,0,4,0,49883
30,0x000a7c5ac472,0x000a7c586398,-161235,-34411,-21473,0,4,0,49481
31,0x000a7c5ac472,0x000a7c584e9f,-166604,-34411,-21473,0,4,0,49481
32,0x000a7c5ac472,0x000a7c5839a6,-171975,-35082,-21482,0,4,0,49134
33,0x000a7c5ac472,0x000a7c5824ab,-177346,-35754,-21482,0,4,0,48741
34,0x000a7c5ac472,0x000a7c580fb0,-182717,-36435,-21482,0,4,0,48359
35,0x000a7c5ac472,0x000a7c57fab5,-188088,-37773,-21482,0,4,0,47603
36,0x000a7c5ac472,0x000a7c57e5ba,-193459,-38448,-21482,0,4,0,47235
