index,sample_count,fll_valid_count,input_hz,center_hz,center_word,tracking_word,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude
0,0,0,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,0,0,0,2,0,0,0,0,0,0
1,1795,1,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
2,1873,2,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
3,1951,3,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
4,2029,4,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
5,2107,5,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
6,2185,6,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
7,2263,7,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
8,2341,8,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
9,2419,9,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
10,2497,10,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
11,2575,11,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
12,2653,12,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
13,2731,13,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
14,2809,14,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
15,2887,15,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
16,2965,16,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,3816,0,3,0,1,1,1,0,937737
17,3043,17,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
18,3121,18,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
19,3199,19,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
20,3277,20,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
21,3355,21,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
22,3433,22,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
23,3511,23,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
24,3589,24,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
25,3667,25,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
26,3745,26,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
27,3823,27,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
28,3901,28,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
29,3979,29,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
30,4057,30,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
31,4135,31,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
32,4213,32,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
33,4291,33,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
34,4369,34,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
35,4447,35,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
36,4525,36,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
37,4603,37,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
38,4681,38,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
39,4759,39,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
40,4837,40,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
41,4915,41,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
42,4993,42,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
43,5071,43,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
44,5149,44,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
45,5227,45,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
46,5305,46,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
47,5383,47,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
48,5461,48,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
49,5539,49,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
50,5617,50,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
51,5695,51,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
