case_index,index,config_apply,sample_count,fll_valid_count,input_hz,center_hz,center_word,cic_rate_r,cic_shift,tracking_word,freq_state,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude,hybrid_state_before,hybrid_center_word,hybrid_positive_limit,hybrid_negative_limit,hybrid_fll_term,hybrid_i_term,hybrid_p_term
0,0,1,0,0,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,0,0,0,2,0,0,0,0,0,0,0,0x000000000000,0,0,0,0,0
0,1,0,7177,1,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,71812,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,2,0,7489,2,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,71812,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,3,0,7801,3,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,64260,71812,0,3,0,1,1,1,0,694032,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,4,0,8113,4,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,105500,71812,0,3,0,1,1,1,0,937735,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,5,0,8425,5,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,91108,71812,0,3,0,1,1,1,0,841614,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,6,0,8737,6,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-64260,71812,0,3,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,7,0,9049,7,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-64260,71812,0,3,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,8,0,9361,8,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-30190,71812,0,3,0,1,1,1,0,777400,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,9,0,9673,9,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,1276,71812,0,3,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,10,0,9985,10,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,1276,71812,0,3,0,1,1,1,0,941040,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,11,0,10297,11,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,71812,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,12,0,10609,12,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,71812,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,13,0,10921,13,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,64260,71812,0,3,0,1,1,1,0,694619,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,14,0,11233,14,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,105500,71812,0,3,0,1,1,1,0,937735,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,15,0,11545,15,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,91108,71812,0,3,0,1,1,1,0,856978,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,16,0,11857,16,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-64260,71812,0,3,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,17,0,12169,17,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-64260,69892,0,4,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,18,0,12481,18,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,69892,69892,-28431,69892,0,4,0,1,1,1,0,762785,0,0x00029f16b11c,140737488355327,-140737488355328,69892,0,0
0,19,0,12793,19,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f17c220,139784,139784,1276,69892,0,4,0,1,1,1,0,937736,69892,0x00029f16b11c,140737488355327,-140737488355328,69892,0,0
0,20,0,13105,20,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f18d324,209676,209676,1276,69892,0,4,0,1,1,1,0,940467,139784,0x00029f16b11c,140737488355327,-140737488355328,69892,0,0
0,21,0,13417,21,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f19e428,279568,279568,-1276,69892,0,4,0,1,1,1,0,937737,209676,0x00029f16b11c,140737488355327,-140737488355328,69892,0,0
0,22,0,13729,22,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1af52c,349460,349460,-1276,69892,0,4,0,1,1,1,0,937737,279568,0x00029f16b11c,140737488355327,-140737488355328,69892,0,0
