case_index,sample_count,i_baseband,q_baseband,cordic_phase,phase_error
0,1249,524287,159759,0,0
0,1561,524287,524287,0,64260
0,1873,384942,524287,0,105500
0,2185,-524288,524287,0,91108
0,2497,-524288,524287,0,-64260
0,2809,-524288,-125851,0,-64260
0,3121,-524288,-524288,0,-34254
0,3433,-397766,-524288,0,1276
0,3745,524287,-524288,0,1276
0,4057,524287,-524288,0,-1276
0,4369,524287,112020,0,-1276
0,4681,524287,524287,0,64260
0,4993,406893,524287,0,105500
0,5305,-524288,524287,0,91108
0,5617,-524288,524287,0,-64260
0,5929,-524288,-102669,0,-64260
0,6241,-524288,-524288,0,-31389
0,6553,-415293,-524288,0,1276
0,6865,524287,-524288,0,1276
0,7177,524287,-524288,0,-1276
0,7489,524287,94139,0,-1276
0,7801,524287,524287,0,64260
0,8113,423371,524287,0,105500
0,8425,-524288,524287,0,91108
0,8737,-524288,524287,0,-64260
0,9049,-524288,-85923,0,-64260
0,9361,-524288,-524288,0,-30190
0,9673,-431507,-524288,0,1276
0,9985,524287,-524288,0,1276
0,10297,524287,-524288,0,-1276
0,10609,524287,77640,0,-1276
0,10921,524287,524287,0,64260
0,11233,439501,524287,-1276,105500
0,11545,-524288,524287,39964,91108
0,11857,-524288,524287,25572,-64260
0,12169,-524288,-69480,-129796,-64260
0,12481,-524288,-524288,-129796,-28431
0,12793,-447602,-524288,-99790,1276
0,13105,524287,-524288,-64260,1276
0,13417,524287,-524288,-64260,-1276
0,13729,524287,61046,-66812,-1276
0,14041,524287,524287,-66812,64260
0,14353,455955,524287,-1276,105500
0,14665,-524288,524287,39964,91108
0,14977,-524288,524287,25572,-64260
0,15289,-524288,-52148,-129796,-64260
0,15601,-524288,-524288,-129796,-26886
0,15913,-464792,-524288,-96925,1276
0,16225,524287,-524288,-64260,1276
0,16537,524287,-524288,-64260,-1276
0,16849,524287,43050,-66812,-1276
0,17161,524287,524287,-66812,64260
0,17473,473496,524287,-1276,105500
0,17785,-524288,524287,39964,91108
0,18097,-524288,524287,25572,-64260
0,18409,-524288,-34078,-129796,-64260
0,18721,-524288,-524288,-129796,-25572
0,19033,-482302,-524288,-95726,1276
0,19345,524287,-524288,-64260,1276
0,19657,524287,-524288,-64260,-1276
