case_index,index,controller_reacquire,sample_count,fll_valid_count,input_hz,center_hz,center_word,cic_rate_r,cic_shift,tracking_word,freq_state,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude,hybrid_state_before,hybrid_center_word,hybrid_positive_limit,hybrid_negative_limit,hybrid_fll_term,hybrid_i_term,hybrid_p_term
0,0,1,0,0,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,0,0,0,2,0,0,0,0,0,0,0,0x000000000000,0,0,0,0,0
0,1,0,6865,1,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,1276,58347,0,3,0,1,1,1,0,941618,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,2,0,7177,2,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,58347,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,3,0,7489,3,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,58347,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,4,0,7801,4,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,64260,58347,0,3,0,1,1,1,0,694032,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,5,0,8113,5,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,105500,58347,0,3,0,1,1,1,0,937735,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,6,0,8425,6,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,91108,58347,0,3,0,1,1,1,0,841614,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,7,0,8737,7,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-64260,58347,0,3,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,8,0,9049,8,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-64260,58347,0,3,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,9,0,9361,9,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-30190,58347,0,3,0,1,1,1,0,777400,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,10,0,9673,10,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,1276,58347,0,3,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,11,0,9985,11,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,1276,58347,0,3,0,1,1,1,0,941040,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,12,0,10297,12,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,58347,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,13,0,10609,13,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-1276,58347,0,3,0,1,1,1,0,937737,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,14,0,10921,14,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,64260,58347,0,3,0,1,1,1,0,694619,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,15,0,11233,15,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,105500,58347,0,3,0,1,1,1,0,937735,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,16,0,11545,16,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,91108,58347,0,3,0,1,1,1,0,856978,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,17,0,11857,17,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,0,0,-64260,72219,0,4,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,18,0,12169,18,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f16b11c,72219,72219,-64260,72219,0,4,0,1,1,1,0,937736,0,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,19,0,12481,19,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f17cb37,144438,144438,-28431,72219,0,4,0,1,1,1,0,762785,72219,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,20,0,12793,20,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f18e552,216657,216657,1276,72219,0,4,0,1,1,1,0,937736,144438,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,21,0,13105,21,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f19ff6d,288876,288876,1276,72219,0,4,0,1,1,1,0,940467,216657,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,22,0,13417,22,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1b1988,361095,361095,-1276,72219,0,4,0,1,1,1,0,937737,288876,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,23,0,13729,23,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c33a3,361095,361095,-1276,72219,0,7,6,1,1,1,0,937737,361095,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,24,0,14041,24,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c33a3,361095,361095,64260,72219,0,7,6,1,1,1,0,695215,361095,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
