label,loop_state,loss_reason,locked,phase_locked,frequency_locked,phase_error,freq_error,freq_error_usable,state_measurement_valid,good_count,bad_count,hybrid_fll,hybrid_pll_i,hybrid_pll_p,hybrid_kf,hybrid_ki,hybrid_kp,fll_term,i_term,p_term,freq_state,freq_correction,correction_valid
t0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t100us,3,0,0,0,0,-118968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t200us,3,0,0,1,0,-96255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t500us,3,0,0,0,0,-128893,-9843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t1ms,3,0,0,0,0,67580,-12218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2ms,4,3,0,0,0,-59948,-10068,0,0,0,6,1,0,0,8000000,0,0,-1229004,0,0,-128060486,-128060486,0
t3ms,4,3,0,0,0,105500,-6342,0,0,0,18,1,0,0,8000000,0,0,-774170,0,0,-348518828,-348518828,0
t4ms,4,3,0,0,0,14822,-5139,0,0,0,30,1,0,0,8000000,0,0,-627320,0,0,-507092030,-507092030,0
t5ms,4,3,0,0,0,-50724,-4319,0,0,0,42,1,0,0,8000000,0,0,-527222,0,0,-637996554,-637996554,0
t6ms,4,3,0,0,0,-111906,-3087,0,0,0,55,1,0,0,8000000,0,0,-376832,0,0,-745009942,-745009942,0
t7ms,4,3,0,0,0,112909,-3160,0,0,0,67,1,0,0,8000000,0,0,-385743,0,0,-834181073,-834181073,0
t8ms,4,3,0,0,1,87857,-1831,0,0,4,0,1,0,0,8000000,0,0,-223511,0,0,-886030750,-886030750,0
t9ms,4,3,0,0,0,56917,-2535,0,0,0,11,1,0,0,8000000,0,0,-309449,0,0,-945326393,-945326393,0
t10ms,4,3,0,0,1,46370,-1181,0,0,10,0,1,0,0,8000000,0,0,-144166,0,0,-984274496,-984274496,0
t11ms,5,0,0,0,1,39964,-1017,0,0,0,0,1,1,1,1500000,117200,6000000,-23278,17867,58541015,-994642840,-936101825,0
t12ms,5,0,0,0,1,8900,-1616,0,0,0,0,1,1,1,1500000,117200,6000000,-36988,4026,13193847,-999699232,-986505385,0
t13ms,5,0,0,0,1,-11342,-1289,0,0,0,0,1,1,1,1500000,117200,6000000,-29503,-5036,-16498536,-1007444501,-1023943037,0
t14ms,5,0,0,0,1,-22372,-688,0,0,0,0,1,1,1,1500000,117200,6000000,-15748,-9982,-32704102,-1013262958,-1045967060,0
t15ms,5,0,0,0,1,-39964,-546,0,0,0,0,1,1,1,1500000,117200,6000000,-12497,-17868,-58541016,-1017950919,-1076491935,0
t16ms,5,0,0,0,1,-25572,-480,0,0,0,0,1,1,1,1500000,117200,6000000,-10987,-11433,-37458985,-1022827503,-1060286488,0
t17ms,5,0,0,0,1,-46370,-235,0,0,0,0,1,1,1,1500000,117200,6000000,-5379,-20732,-67924805,-1028217135,-1096141940,0
t18ms,5,0,0,0,1,-41157,-291,0,0,0,0,1,1,1,1500000,117200,6000000,-6661,-18401,-60288575,-1033035294,-1093323869,0
t19ms,5,0,0,0,1,-45497,-249,0,0,0,0,1,1,1,1500000,117200,6000000,-5700,-20335,-66624024,-1037908419,-1104532443,0
t20ms,5,0,0,0,1,-47564,-128,0,0,0,0,1,1,1,1500000,117200,6000000,-2930,-21262,-69662110,-1042801638,-1112463748,0
t21ms,5,0,0,0,1,-48925,-93,0,0,0,0,1,1,1,1500000,117200,6000000,-2129,-21871,-71658692,-1047520453,-1119179145,0
t22ms,5,0,0,0,1,-49503,-26,0,0,0,0,1,1,1,1500000,117200,6000000,-596,-22132,-72512696,-1052062057,-1124574753,0
t23ms,5,0,0,0,1,-49534,5,0,0,0,0,1,1,1,1500000,117200,6000000,114,-22147,-72562500,-1056429030,-1128991530,0
t24ms,5,0,0,0,1,-49060,42,0,0,0,0,1,1,1,1500000,117200,6000000,961,-21935,-71868165,-1060569565,-1132437730,0
t25ms,5,0,0,0,1,-48197,101,0,0,0,0,1,1,1,1500000,117200,6000000,2311,-21551,-70608399,-1064524116,-1135132515,0
t26ms,5,0,0,0,1,-47108,71,0,0,0,0,1,1,1,1500000,117200,6000000,1625,-21062,-69005860,-1068305385,-1137311245,0
t27ms,5,0,0,0,1,-45817,117,0,0,0,0,1,1,1,1500000,117200,6000000,2677,-20487,-67123536,-1071877546,-1139001082,0
t28ms,5,0,0,0,1,-44352,143,0,0,0,0,1,1,1,1500000,117200,6000000,3273,-19832,-64976075,-1075299386,-1140275461,0
t29ms,5,0,0,0,1,-43764,126,0,0,0,0,1,1,1,1500000,117200,6000000,2883,-19567,-64107422,-1078563731,-1142671153,0
t30ms,5,0,0,0,1,-35948,172,0,0,0,0,1,1,1,1500000,117200,6000000,3936,-16072,-52658204,-1081841560,-1134499764,0
